sort_algo,input_size,num_comparisons
select,1,0
bubble,1,0
insert,1,0
merge,1,0
quick,1,0
select,1,0
bubble,1,0
insert,1,0
merge,1,0
quick,1,0
select,1,0
bubble,1,0
insert,1,0
merge,1,0
quick,1,0
select,2,1
bubble,2,1
insert,2,1
merge,2,1
quick,2,1
select,2,1
bubble,2,1
insert,2,1
merge,2,1
quick,2,1
select,2,1
bubble,2,1
insert,2,1
merge,2,1
quick,2,1
select,4,6
bubble,4,6
insert,4,4
merge,4,5
quick,4,6
select,4,6
bubble,4,3
insert,4,3
merge,4,4
quick,4,6
select,4,6
bubble,4,6
insert,4,6
merge,4,4
quick,4,6
select,8,28
bubble,8,28
insert,8,16
merge,8,17
quick,8,16
select,8,28
bubble,8,7
insert,8,7
merge,8,12
quick,8,28
select,8,28
bubble,8,28
insert,8,28
merge,8,12
quick,8,28
select,16,120
bubble,16,84
insert,16,43
merge,16,46
quick,16,57
select,16,120
bubble,16,15
insert,16,15
merge,16,32
quick,16,120
select,16,120
bubble,16,120
insert,16,120
merge,16,32
quick,16,120
select,32,496
bubble,32,475
insert,32,235
merge,32,122
quick,32,122
select,32,496
bubble,32,31
insert,32,31
merge,32,80
quick,32,496
select,32,496
bubble,32,496
insert,32,496
merge,32,80
quick,32,496
select,64,2016
bubble,64,1950
insert,64,1103
merge,64,299
quick,64,336
select,64,2016
bubble,64,63
insert,64,63
merge,64,192
quick,64,2016
select,64,2016
bubble,64,2016
insert,64,2016
merge,64,192
quick,64,2016
select,128,8128
bubble,128,8062
insert,128,3681
merge,128,729
quick,128,888
select,128,8128
bubble,128,127
insert,128,127
merge,128,448
quick,128,8128
select,128,8128
bubble,128,8128
insert,128,8128
merge,128,448
quick,128,8128
select,256,32640
bubble,256,32364
insert,256,16868
merge,256,1718
quick,256,1918
select,256,32640
bubble,256,255
insert,256,255
merge,256,1024
quick,256,32640
select,256,32640
bubble,256,32640
insert,256,32640
merge,256,1024
quick,256,32640
select,512,130816
bubble,512,129826
insert,512,66403
merge,512,3941
quick,512,5029
select,512,130816
bubble,512,511
insert,512,511
merge,512,2307
quick,512,129575
select,512,130816
bubble,512,130816
insert,512,130811
merge,512,2304
quick,512,130305
select,1024,523776
bubble,1024,522786
insert,1024,257684
merge,1024,8932
quick,1024,11815
select,1024,523776
bubble,1024,1023
insert,1024,1023
merge,1024,5271
quick,1024,365927
select,1024,523776
bubble,1024,523776
insert,1024,523460
merge,1024,5120
quick,1024,430124
select,2048,2096128
bubble,2048,2095693
insert,2048,1036786
merge,2048,19923
quick,2048,25839
select,2048,2096128
bubble,2048,2047
insert,2048,2047
merge,2048,11588
quick,2048,1440850
select,2048,2096128
bubble,2048,2096128
insert,2048,2095460
merge,2048,11264
quick,2048,1705773
select,4096,8386560
bubble,4096,8382374
insert,4096,4154658
merge,4096,43975
quick,4096,55582
select,4096,8386560
bubble,4096,4095
insert,4096,4095
merge,4096,24962
quick,4096,6849557
select,4096,8386560
bubble,4096,8386560
insert,4096,8385747
merge,4096,24576
quick,4096,7512108
select,8192,33550336
bubble,8192,33547255
insert,8192,16767049
merge,8192,96136
quick,8192,124092
select,8192,33550336
bubble,8192,8191
insert,8192,8191
merge,8192,53910
quick,8192,28248346
select,8192,33550336
bubble,8192,33550336
insert,8192,33548883
merge,8192,53248
quick,8192,30547446
select,16384,134209536
bubble,16384,134197133
insert,16384,66705470
merge,16384,208567
quick,16384,268011
select,16384,134209536
bubble,16384,16383
insert,16384,16383
merge,16384,116636
quick,16384,104738213
select,16384,134209536
bubble,16384,134209536
insert,16384,134205316
merge,16384,114688
quick,16384,117699261
select,32768,536854528
bubble,32768,536849478
insert,32768,268247459
merge,32768,450035
quick,32768,616152
select,32768,536854528
bubble,32768,32767
insert,32768,32767
merge,32768,252805
quick,32768,336938629
select,32768,536854528
bubble,32768,536854528
insert,32768,536837703
merge,32768,245760
quick,32768,414478270
select,65536,2147450880
bubble,65536,2147374635
insert,65536,1067896892
merge,65536,965535
quick,65536,1221212
select,65536,2147450880
bubble,65536,65535
insert,65536,65535
merge,65536,547732
quick,65536,928583206

